mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regression__loss,param_regression__max_features,param_regression__random_state,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.014388243357341,0.002560576486063,0.000721295674642,0.00016042604136,ls,None,3111696,"{'regression__loss': 'ls', 'regression__max_features': None, 'regression__random_state': 3111696}",0.500953218458007,0.740182321324929,0.840533303613364,0.690381679992572,0.143478902465771,3,0.992056929598889,0.982666577213809,0.969480782350544,0.981401429721081,0.009259987573012
0.010327895482381,0.000539668773483,0.000494400660197,2.75916217875531E-05,ls,auto,3111696,"{'regression__loss': 'ls', 'regression__max_features': 'auto', 'regression__random_state': 3111696}",0.500953218458007,0.740182321324929,0.840533303613364,0.690381679992572,0.143478902465771,3,0.992056929598889,0.982666577213809,0.969480782350544,0.981401429721081,0.009259987573012
0.009697675704956,1.13459858942907E-05,0.000472068786621,1.68587394043576E-06,ls,log2,3111696,"{'regression__loss': 'ls', 'regression__max_features': 'log2', 'regression__random_state': 3111696}",0.451475538413391,0.805121380374837,0.755558766192747,0.666732324874017,0.157660406668915,11,0.991165416450012,0.981129463037059,0.967291384879102,0.979862088122058,0.009787646133216
0.009656667709351,2.67645430464244E-05,0.00047238667806,1.51207427902543E-06,ls,sqrt,3111696,"{'regression__loss': 'ls', 'regression__max_features': 'sqrt', 'regression__random_state': 3111696}",0.451475538413391,0.805121380374837,0.755558766192747,0.666732324874017,0.157660406668915,11,0.991165416450012,0.981129463037059,0.967291384879102,0.979862088122058,0.009787646133216
0.04001784324646,0.002369961562909,0.000575145085653,0.000109857136649,lad,None,3111696,"{'regression__loss': 'lad', 'regression__max_features': None, 'regression__random_state': 3111696}",0.579707290946772,0.746850111039828,0.724214761171352,0.681701931414362,0.074660990793222,5,0.928092391951896,0.912321533965449,0.876789260560876,0.90573439549274,0.021456088764032
0.037421385447184,0.000587027546418,0.000498135884603,4.9182978495474E-05,lad,auto,3111696,"{'regression__loss': 'lad', 'regression__max_features': 'auto', 'regression__random_state': 3111696}",0.579707290946772,0.746850111039828,0.724214761171352,0.681701931414362,0.074660990793222,5,0.928092391951896,0.912321533965449,0.876789260560876,0.90573439549274,0.021456088764032
0.04250168800354,0.001909205079631,0.000489950180054,1.76955205263339E-05,lad,log2,3111696,"{'regression__loss': 'lad', 'regression__max_features': 'log2', 'regression__random_state': 3111696}",0.43184811558894,0.841455590872013,0.755116821498271,0.671698502160999,0.177713021156586,9,0.980169154237056,0.95100024175059,0.895553320243783,0.942240905410476,0.035095149906445
0.042359749476115,0.001872499675476,0.000473419825236,8.77806426460525E-07,lad,sqrt,3111696,"{'regression__loss': 'lad', 'regression__max_features': 'sqrt', 'regression__random_state': 3111696}",0.43184811558894,0.841455590872013,0.755116821498271,0.671698502160999,0.177713021156586,9,0.980169154237056,0.95100024175059,0.895553320243783,0.942240905410476,0.035095149906445
0.068116346995036,0.000665994902385,0.000617742538452,4.71928283384142E-05,huber,None,3111696,"{'regression__loss': 'huber', 'regression__max_features': None, 'regression__random_state': 3111696}",0.502286325245688,0.757791167023117,0.852064055397045,0.700378803331473,0.148877904898832,1,0.991357196994223,0.982103014815509,0.950194630764321,0.974551614191351,0.017632488067914
0.075698852539063,0.005132932203494,0.000940402348836,0.000303540987854,huber,auto,3111696,"{'regression__loss': 'huber', 'regression__max_features': 'auto', 'regression__random_state': 3111696}",0.502286325245688,0.757791167023117,0.852064055397045,0.700378803331473,0.148877904898832,1,0.991357196994223,0.982103014815509,0.950194630764321,0.974551614191351,0.017632488067914
0.071357011795044,0.001903059497906,0.000634590784709,1.1938929213342E-05,huber,log2,3111696,"{'regression__loss': 'huber', 'regression__max_features': 'log2', 'regression__random_state': 3111696}",0.469003756892171,0.816215123254026,0.76651553028375,0.680004057175113,0.154600941941291,7,0.99058170363429,0.977548069286912,0.953160180849316,0.973763317923506,0.015509907565783
0.069606304168701,0.000892088305252,0.000616232554118,1.18672965832731E-05,huber,sqrt,3111696,"{'regression__loss': 'huber', 'regression__max_features': 'sqrt', 'regression__random_state': 3111696}",0.469003756892171,0.816215123254026,0.76651553028375,0.680004057175113,0.154600941941291,7,0.99058170363429,0.977548069286912,0.953160180849316,0.973763317923506,0.015509907565783
0.03923241297404,0.0023035035989,0.000561078389486,1.98564494582849E-05,quantile,None,3111696,"{'regression__loss': 'quantile', 'regression__max_features': None, 'regression__random_state': 3111696}",0.431876571396704,0.789030470149284,0.776691253627246,0.661611743354817,0.166973356429985,13,0.925166422961408,0.842915574846874,0.643517670948274,0.803866556252185,0.118251495459311
0.039257605870565,0.002268058305959,0.00057586034139,4.0140009861411E-05,quantile,auto,3111696,"{'regression__loss': 'quantile', 'regression__max_features': 'auto', 'regression__random_state': 3111696}",0.431876571396704,0.789030470149284,0.776691253627246,0.661611743354817,0.166973356429985,13,0.925166422961408,0.842915574846874,0.643517670948274,0.803866556252185,0.118251495459311
0.043793360392253,0.001844759349051,0.000547091166178,4.03603213361681E-05,quantile,log2,3111696,"{'regression__loss': 'quantile', 'regression__max_features': 'log2', 'regression__random_state': 3111696}",0.256774003350525,0.781358514842261,0.788521985353182,0.602482819403236,0.251168348714758,15,0.858700880750683,0.819292056672902,0.797566363255261,0.825186433559615,0.025303689671818
0.044502019882202,0.000590756016648,0.000607967376709,2.36655711578921E-05,quantile,sqrt,3111696,"{'regression__loss': 'quantile', 'regression__max_features': 'sqrt', 'regression__random_state': 3111696}",0.256774003350525,0.781358514842261,0.788521985353182,0.602482819403236,0.251168348714758,15,0.858700880750683,0.819292056672902,0.797566363255261,0.825186433559615,0.025303689671818
